EAN,Quantity,Price
0000000001498,2,0.00
0000011167105,4,4.00
0000900019441,1,5.00
0602394031440,0,11.00
0602394031587,0,11.00
0602394036032,0,11.00
0602394036223,0,11.00
0658556032077,1,16.99
0670983093988,0,8.99
0717195239817,1,0.00
0766150848472,0,29.99
0814229006572,2,12.00
0814229007289,6,16.99
0814229027638,1,12.00
0837654603970,0,9.99
0856739001159,2,15.99
0978020137962,0,24.99
3558380010494,1,12.99
3558380023449,0,12.99
4007817527139,0,0.00
5010993414574,1,12.99
5011000003217,0,0.10
5011000003224,0,0.00
5011000003231,0,0.00
5011000003248,0,0.00
5011000003255,0,0.00
5011000003293,0,0.00
5011000003309,0,0.00
5011000003316,0,0.00
9781608465644,0,11.99
9781612195759,0,12.99
9781612199399,0,18.99
9781612680194,0,6.99
9781614292821,1,13.99
9781614293828,0,13.99
9781615197682,0,15.99
9781618953216,0,7.95
9781628654516,0,20.99
9781629998954,0,14.09
9781631066450,0,22.00
9781631591402,1,12.99
9781640123618,0,15.99
9781640971318,0,14.99
9781645020189,0,12.99
9781648290480,0,15.98
9781648960000,1,14.99
9781683733973,0,22.99
9781684155385,1,10.99
9781685890049,0,9.99
9781715287375,1,13.50
9781788007665,0,10.99
9781788007818,0,7.99
9781788007962,1,7.99
9781788008419,1,6.99
9781788008433,1,14.99
9781788008648,1,7.99
9781788009430,0,7.99
9781788009485,1,7.99
9781788009669,0,9.99
9781788009676,0,9.99
9781788009898,1,6.99
9781788009911,1,6.99
9781788009935,1,6.99
9781788160612,0,6.99
9781788161619,0,16.99
9780957682108,1,10.00
9780978742850,0,13.99
9780992926441,0,5.99
9780993070907,0,6.99
9780993168819,0,6.99
9780993212444,2,7.99
9780993212482,3,7.99
9780993217401,2,9.99
9780993298646,0,14.99
9780993334450,1,15.99
9780993467202,0,12.99
9780993489402,1,10.99
9780993489426,2,13.99
9780995462311,1,8.99
9780995462359,1,9.99
9781471192012,0,20.00
9781471192173,0,16.99
9781471192340,0,12.99
9781471192357,1,6.99
9781471192463,1,7.99
9781471192487,0,12.99
9781471193200,1,6.99
9781471193279,0,16.99
9781471194658,1,7.99
9781471194672,0,12.99
9781471195822,0,7.99
9781471196492,0,6.99
9781471196720,0,12.99
9781471197222,1,6.99
9780099464266,1,7.99
9780099466734,1,7.99
9780099469605,0,8.99
9780099478447,0,8.99
9780099478980,0,9.99
9780099479697,0,8.99
